,explanation,type,word
0,lacking restraint or control; feeling of extreme emotional intensity; unbounded enthusiasm,n. Syn. relinquish,abandon
1,giving up completely; freedom from constraint,n. ,abandonment
2,shortening something by omitting parts of it,n. ,abbreviation
3,suspended action; temporary cessation or suspension,n. Syn. suspension,abeyance
4,endure; put up with; bear; tolerate,v. ,abide
5,capacity; skill,n. Syn. capacity; skill,ability
6,unusual; not typical; not normal,a. Syn. anomalous; unusual,abnormal
7,"on a ship, train, plane or other vehicle; in or into a group, organization, or business",ad. ,aboard
8,cancel; put an end to; destroy completely,v. Syn. cancel; annul,abolish
9,ending; act of abolishing; act of doing away with,n. ,abolition
10,termination of pregnancy; failure of a plan,n. ,abortion
11,unsuccessful; failing to accomplish an intended objective; fruitless,a. Syn. unsuccessful; fruitless,abortive
12,condense; shorten; reduce length of written text,v. Syn. condense; shorten,abridge
13,"abolish, do away with, or annul, especially by authority",a. Syn. abolish,abrogate
14,broken off; very steep; having sudden transitions from one subject to another,a. Syn. sudden; unforeseen,abrupt
15,state of being absent; state of being away,n. ,absence
16,go away or leave ; missing; not present,a. Syn. missing,absent
17,perfect in quality or nature; complete; totally unlimited; certain,a. Syn. complete; certain,absolute
18,utterly; definitely,ad. Syn. utterly; definitely,absolutely
19,assimilate or incorporate; suck or drink up; occupy full attention,v. Syn. monopolize; receive,absorb
20,process of absorbing nutrients into the body after digestion; state of mental concentration,n. Syn. assimilation; reception,absorption
21,theoretical; not concrete; not applied or practical; difficult to understand,a. Syn. theoretical; abstruse,abstract
22,preposterous; ridiculously incongruous or unreasonable; foolish,a. Syn. preposterous; ridiculous; foolish,absurd
23,"quality of being absurd or inconsistent with obvious truth, reason, or sound judgment; logical contradiction",n. ,absurdity
24,great or plentiful amount; fullness to overflowing,n. Syn. profusion; richness,abundance
25,plentiful; possessing riches or resources,a. Syn. plentiful,abundant
26,improper use or handling; misuse,n. Syn. misuse,abuse
27,related to school; not practical or directly useful; relating to scholarly organization; based on formal education,a. Syn. scholarly; collegiate; theoretical,academic
28,"school for special instruction; society of scholars, scientists, or artists",n. ,academy
29,"agree; give consent, often at insistence of another; concede",v. Syn. agree; assent; concede,accede
30,move faster; cause to develop or progress more quickly; occur sooner than expected,v. Syn. speed; hasten,accelerate
31,faster rate of improvement; rate of change of velocity with respect to time,n. ,acceleration
32,approach; entry; entrance,n. Syn. approach,access
33,easily approached or entered; obtainable; easy to talk to or get along with,a. Syn. obtainable; approachable,accessible
34,additional object; useful but not essential thing; subordinate or supplementary item,n. Syn. adjunct; appendage,accessory
35,"event that takes place without one's foresight or expectation; sudden, and unexpected event",n. ,accident
36,unexpected; unforeseen,a. Syn. unexpected; unforeseen,accidental
37,inadvertently; by chance; casually; fortuitously; not essentially or intrinsically,ad. Syn. inadvertently,accidentally
38,do a favor or service for; provide for; supply with; make suitable; adapt; allow for,v. Syn. adapt; oblige,accommodate
39,living quarters provided for public convenience; something that meets a need; convenience,n. ,accommodation
40,act of accompanying someone or something,n. ,accompaniment
41,travel with; be associated with,v. ,accompany
42,succeed in doing; bring to pass; achieve; reach the end of; complete,v. Syn. finish; achieve,accomplish
43,achievement; fulfillment,n. Syn. achievement; fulfillment,accomplishment
44,settlement or compromise of conflicting opinions; written agreement between two states,n. Syn. agreement; treaty,accord
45,narrative or record of events; reason given for a particular action or event,n. Syn. report; description,account
46,one who maintains and audits business accounts,n. ,accountant
47,system that provides quantitative information about finances,n. ,accounting
48,"increase, accumulate, or come about as a result of growth; accumulate over time",v. ,accrue
49,pile up; collect;  mount up; increase,v. Syn. collect,accumulate
50,increase by natural growth or addition; concentration,n. Syn. accretion; concentration,accumulation
51,quality of nearness to the truth or the true value,n. ,accuracy
52,capable of providing a correct reading or measurement; performing with care and precision,a. Syn. precise; correct,accurate
53,indictment; charge of wrongdoing that is made against a person or other party,n. Syn. indictment; charge,accusation
54,blame; condemn,v. Syn. blame; condemn,accuse
55,gain with effort; accomplish; fulfill,v. Syn. accomplish; fulfill,achieve
56,feat; accomplishment; award for completing a particular task or meeting an objective,n. Syn. feat; accomplishment,achievement
57,"sour; water-soluble compounds having a sour taste; quality of being sarcastic, bitter, or scornful",n. ,acid
58,"declare to be true or admit; express obligation, thanks",v. Syn. recognize; admit,acknowledge
59,inform about; cause to come to know personally; make familiar,v. Syn. Inform,acquaint
60,personal knowledge or information about someone or something,n. ,acquaintance
61,known by or familiar with another; informed or familiar,a. ,acquainted
62,gain through experience or effort; gain possession of; locate with tracking system,v. Syn. obtain; gain,acquire
63,act of contracting or assuming or acquiring possession of something,n. Syn. acquirement; attainment,acquisition
64,"from side to side; crosswise, or in a direction opposed to the length",ad. ,across
65,make active or more active; stimulate; make radioactive,v. Syn. encourage; stimulate,activate
66,"energetically; vigorously; in an active manner; voluntarily, not passively",ad. Syn. energetically; vigorously,actively
67,"true; real; being, existing, or acting at the present moment; current",a. Syn. true; real,actual
68,truly; really; in fact,ad. Syn. truly; really,actually
69,quickly perceptive; keen; having a sharp point or tip; extremely sharp or severe,a. Syn. keen; sharp,acute
70,make fit for; change to suit a new purpose,v. Syn. alter; modify,adapt
71,modification; alteration or adjustment in structure or habits,n. Syn. modification; adjustment,adaptation
72,further; extra; supplemental or added to,a. Syn. further; extra,additional
73,addition; supplement,n. Syn. addition; supplement,additive
74,make a formal speech to; deal with or discuss; direct efforts or attention of,v. ,address
75,sufficient; enough to meet a purpose,a. Syn. sufficient; enough,adequate
76,stick fast; stick to firmly; be compatible or in accordance with,v. Syn. stick; bond,adhere
